# abs_vel_axis  fit_absorption_spectrum  abs_noise_env_prime  em_vel_axis  fit_emission_spectrum  em_spectrum_err
-2.535077114700000038e+02 2.206373466666664562e-01 2.375586372957123882e-01 -1.310996948899999950e+02 -4.281471039632801734e+00 9.257379000000000246e+00
-2.530953590000000020e+02 2.229166566666664906e-01 2.363116557118120908e-01 -1.315120473599999968e+02 -5.208843726238348459e+00 5.260686999999999891e+00
-2.526830065300000001e+02 3.505699633333331233e-01 2.400378185500164907e-01 -1.319243998299999987e+02 -3.480015796864241562e+00 7.656396400000000213e+00
-2.522706540599999983e+02 6.176051899999999151e-01 2.464821446429817098e-01 -1.323367523000000006e+02 8.500256778431989346e-01 4.771942000000000128e+00
-2.518583015899999964e+02 8.460621033333332042e-01 2.532834113778067442e-01 -1.327491047700000024e+02 -2.297282507826938769e-01 7.710478300000000118e+00
-2.514459491199999945e+02 9.702231233333331595e-01 2.579275851014625753e-01 -1.331614572400000043e+02 -5.297485317419200479e-01 8.677122999999999919e+00
-2.510335966499999927e+02 9.440084233333331243e-01 2.565648470263333092e-01 -1.335738097100000061e+02 -1.962618377014133442e+00 8.227982499999999533e+00
-2.506212441700000113e+02 9.072435566666664508e-01 2.582430203725463169e-01 -1.339861621899999875e+02 1.754990774380319918e+00 5.395256999999999969e+00
-2.502088917000000095e+02 9.062752566666665288e-01 2.582397338316519408e-01 -1.343985146599999894e+02 3.239951167747732730e-01 5.890216999999999814e+00
-2.497965392300000076e+02 9.088459833333331073e-01 2.596551594181769618e-01 -1.348108671299999912e+02 -1.371702205184453183e+00 5.051086399999999976e+00
-2.493841867600000057e+02 8.774956833333331652e-01 2.571762602749547710e-01 -1.352232195999999931e+02 -4.072231047701269091e-02 3.496557999999999833e+00
-2.489718342900000039e+02 8.710671833333331060e-01 2.573399534142121747e-01 -1.356355720699999949e+02 3.806762820897093835e+00 8.374283000000000143e+00
-2.485594818200000020e+02 9.661588333333330780e-01 2.562824344653789610e-01 -1.360479245399999968e+02 4.779618772291548190e+00 4.389860999999999791e+00
-2.481471293500000002e+02 1.084632799999999841e+00 2.534940281585178479e-01 -1.364602770200000066e+02 9.307122370193349203e-01 7.024384500000000031e+00
-2.477347768799999983e+02 9.886963499999997795e-01 2.536253394524954907e-01 -1.368726294900000084e+02 -2.478905438252878568e+00 6.795975699999999620e+00
-2.473224244099999964e+02 8.414640833333331127e-01 2.550058689425118152e-01 -1.372849819600000103e+02 -3.297405195878771789e+00 5.301598499999999881e+00
-2.469100719399999946e+02 7.956756833333331613e-01 2.594132395990679796e-01 -1.376973344300000122e+02 4.274560954953360858e-01 9.027568999999999733e+00
-2.464977194600000132e+02 9.006476333333330864e-01 2.591170066965788332e-01 -1.381096869000000140e+02 3.593810976869443063e+00 5.153792000000000151e+00
-2.460853669900000114e+02 1.004408033333333172e+00 2.539975316153604279e-01 -1.385220393699999875e+02 4.190868842263896887e+00 6.475708000000000020e+00
-2.456730145200000095e+02 9.834044666666664769e-01 2.471621995650789549e-01 -1.389343918499999972e+02 1.036774395658349279e+00 7.089852999999999739e+00
-2.452606620500000076e+02 1.013194366666666513e+00 2.422195888533828501e-01 -1.393467443199999991e+02 -2.501490606280530216e+00 9.635386999999999702e+00
-2.448483095800000058e+02 1.069173733333333320e+00 2.450832546203569884e-01 -1.397590967900000010e+02 1.194032967602437906e-01 7.675929000000000002e+00
-2.444359571100000039e+02 1.136969699999999861e+00 2.482786570685005523e-01 -1.401714492600000028e+02 1.963521932801017167e+00 4.315251400000000181e+00
-2.440236046400000021e+02 1.055836553333333150e+00 2.543889900628814038e-01 -1.405838017300000047e+02 4.555140297508457614e+00 5.101584400000000130e+00
-2.436112521700000002e+02 9.753652866666664423e-01 2.518384146178963556e-01 -1.409961542000000065e+02 3.013779348882563713e+00 4.884261000000000408e+00
-2.431988996999999983e+02 9.121341866666664577e-01 2.448233317340730020e-01 -1.414085066700000084e+02 2.649459969436840368e-01 8.010286000000000683e+00
-2.427865472299999965e+02 8.899135333333331177e-01 2.421937814675614864e-01 -1.418208591499999898e+02 -6.882289513285292371e-01 8.648847999999999203e+00
-2.423741947499999867e+02 9.367251999999998135e-01 2.372847140252798415e-01 -1.422332116199999916e+02 -1.418778183267409121e+00 7.648799399999999693e+00
-2.419618422800000133e+02 1.000032099999999868e+00 2.381332400072313782e-01 -1.426455640899999935e+02 2.193351414400309951e-01 7.597889000000000337e+00
-2.415494898100000114e+02 1.107374033333333063e+00 2.295817823913022526e-01 -1.430579165599999953e+02 -7.673725341858620430e-01 6.330765999999999671e+00
-2.411371373400000095e+02 1.152073666666666441e+00 2.286596055259554894e-01 -1.434702690299999972e+02 2.071915385491163164e-02 4.701846599999999654e+00
-2.407247848700000077e+02 1.158477699999999722e+00 2.276619335207180073e-01 -1.438826214999999991e+02 -1.937082041417301559e+00 4.275114000000000303e+00
-2.403124324000000058e+02 1.184200399999999931e+00 2.328457541374886752e-01 -1.442949739800000089e+02 1.165209369977152187e+00 5.248431000000000068e+00
-2.399000799300000040e+02 1.133404499999999704e+00 2.327624569721491732e-01 -1.447073264500000107e+02 7.573468038272561202e-03 5.054598999999999620e+00
-2.394877274600000021e+02 1.085556999999999661e+00 2.335238110586524973e-01 -1.451196789200000126e+02 1.481215088745712949e+00 6.939893200000000206e+00
